gene_id,expression,sample_id,mag_id
MAG140_MAG140_MAG140_109_45,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_46,11.28224012,EX01,MAG140
MAG140_MAG140_MAG140_109_47,1.401354376,EX01,MAG140
MAG140_MAG140_MAG140_109_48,0.374580587,EX01,MAG140
MAG140_MAG140_MAG140_109_49,0.363229661,EX01,MAG140
MAG140_MAG140_MAG140_109_5,5.537884674,EX01,MAG140
MAG140_MAG140_MAG140_109_50,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_51,4.838860362,EX01,MAG140
MAG140_MAG140_MAG140_109_52,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_53,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_54,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_55,4.191806162,EX01,MAG140
MAG140_MAG140_MAG140_109_56,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_57,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_58,2.497113943,EX01,MAG140
MAG140_MAG140_MAG140_109_59,0.388359366,EX01,MAG140
MAG140_MAG140_MAG140_109_6,4.282904987,EX01,MAG140
MAG140_MAG140_MAG140_109_60,0.321713396,EX01,MAG140
MAG140_MAG140_MAG140_109_61,2.118654774,EX01,MAG140
MAG140_MAG140_MAG140_109_62,1.396777853,EX01,MAG140
MAG140_MAG140_MAG140_109_63,0.987775137,EX01,MAG140
MAG140_MAG140_MAG140_109_64,9.228129192,EX01,MAG140
MAG140_MAG140_MAG140_109_65,14.09642633,EX01,MAG140
MAG140_MAG140_MAG140_109_66,1.196230807,EX01,MAG140
MAG140_MAG140_MAG140_109_67,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_68,15.38353572,EX01,MAG140
MAG140_MAG140_MAG140_109_69,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_7,9.400675778,EX01,MAG140
MAG140_MAG140_MAG140_109_70,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_71,45.72619795,EX01,MAG140
MAG140_MAG140_MAG140_109_72,5.648944635,EX01,MAG140
MAG140_MAG140_MAG140_109_73,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_74,39.0211389,EX01,MAG140
MAG140_MAG140_MAG140_109_75,90.78078116,EX01,MAG140
MAG140_MAG140_MAG140_109_8,0.0,EX01,MAG140
MAG140_MAG140_MAG140_109_9,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_10,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_11,5.702943096,EX01,MAG140
MAG140_MAG140_MAG140_10_12,7.913809482,EX01,MAG140
MAG140_MAG140_MAG140_10_13,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_14,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_15,90.49046163,EX01,MAG140
MAG140_MAG140_MAG140_10_16,11.31804305,EX01,MAG140
MAG140_MAG140_MAG140_10_17,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_18,3.557241249,EX01,MAG140
MAG140_MAG140_MAG140_10_19,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_2,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_20,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_21,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_22,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_23,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_24,1.826404478,EX01,MAG140
MAG140_MAG140_MAG140_10_25,5.448777888,EX01,MAG140
MAG140_MAG140_MAG140_10_26,4.446749665,EX01,MAG140
MAG140_MAG140_MAG140_10_27,2.011664215,EX01,MAG140
MAG140_MAG140_MAG140_10_28,0.811258337,EX01,MAG140
MAG140_MAG140_MAG140_10_29,1.434029845,EX01,MAG140
MAG140_MAG140_MAG140_10_3,4.142154237,EX01,MAG140
MAG140_MAG140_MAG140_10_30,1.0055352,EX01,MAG140
MAG140_MAG140_MAG140_10_31,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_32,16.8769026,EX01,MAG140
MAG140_MAG140_MAG140_10_33,4.588608996,EX01,MAG140
MAG140_MAG140_MAG140_10_34,11.59081404,EX01,MAG140
MAG140_MAG140_MAG140_10_35,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_36,6.319917839,EX01,MAG140
MAG140_MAG140_MAG140_10_37,4.03863968,EX01,MAG140
MAG140_MAG140_MAG140_10_38,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_39,4.439168477,EX01,MAG140
MAG140_MAG140_MAG140_10_4,1.180373019,EX01,MAG140
MAG140_MAG140_MAG140_10_40,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_41,4.819632342,EX01,MAG140
MAG140_MAG140_MAG140_10_42,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_43,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_44,7.749372075,EX01,MAG140
MAG140_MAG140_MAG140_10_45,3.77080148,EX01,MAG140
MAG140_MAG140_MAG140_10_46,8.71820708,EX01,MAG140
MAG140_MAG140_MAG140_10_47,5.86513169,EX01,MAG140
MAG140_MAG140_MAG140_10_48,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_49,13.42880248,EX01,MAG140
MAG140_MAG140_MAG140_10_5,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_50,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_51,2.29848896,EX01,MAG140
MAG140_MAG140_MAG140_10_6,0.0,EX01,MAG140
MAG140_MAG140_MAG140_10_7,14.93592983,EX01,MAG140
MAG140_MAG140_MAG140_10_8,22.63604863,EX01,MAG140
MAG140_MAG140_MAG140_10_9,17.70113567,EX01,MAG140
MAG140_MAG140_MAG140_110_1,3.887300437,EX01,MAG140
MAG140_MAG140_MAG140_110_2,5.917553006,EX01,MAG140
MAG140_MAG140_MAG140_110_3,9.477796688,EX01,MAG140
MAG140_MAG140_MAG140_110_4,7.891035765,EX01,MAG140
MAG140_MAG140_MAG140_110_5,0.0,EX01,MAG140
MAG140_MAG140_MAG140_110_6,10.66602532,EX01,MAG140
MAG140_MAG140_MAG140_110_7,0.0,EX01,MAG140
MAG140_MAG140_MAG140_110_8,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_1,6.483388559,EX01,MAG140
MAG140_MAG140_MAG140_111_10,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_100,6.36283009,EX01,MAG140
MAG140_MAG140_MAG140_111_11,1.340202994,EX01,MAG140
MAG140_MAG140_MAG140_111_12,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_13,1.385766637,EX01,MAG140
MAG140_MAG140_MAG140_111_14,1.054226473,EX01,MAG140
MAG140_MAG140_MAG140_111_15,0.175867276,EX01,MAG140
MAG140_MAG140_MAG140_111_16,0.959826395,EX01,MAG140
MAG140_MAG140_MAG140_111_17,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_18,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_19,12.48132648,EX01,MAG140
MAG140_MAG140_MAG140_111_2,31.80216488,EX01,MAG140
MAG140_MAG140_MAG140_111_20,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_21,23.58209869,EX01,MAG140
MAG140_MAG140_MAG140_111_22,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_23,0.30869137,EX01,MAG140
MAG140_MAG140_MAG140_111_24,1.456534377,EX01,MAG140
MAG140_MAG140_MAG140_111_25,1.262421875,EX01,MAG140
MAG140_MAG140_MAG140_111_26,16.50068404,EX01,MAG140
MAG140_MAG140_MAG140_111_27,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_28,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_29,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_3,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_30,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_31,5.455448021,EX01,MAG140
MAG140_MAG140_MAG140_111_32,3.98958652,EX01,MAG140
MAG140_MAG140_MAG140_111_33,2.500059619,EX01,MAG140
MAG140_MAG140_MAG140_111_34,12.33167274,EX01,MAG140
MAG140_MAG140_MAG140_111_35,13.36664526,EX01,MAG140
MAG140_MAG140_MAG140_111_36,0.880612324,EX01,MAG140
MAG140_MAG140_MAG140_111_37,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_38,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_39,6.197092207,EX01,MAG140
MAG140_MAG140_MAG140_111_4,2.195436618,EX01,MAG140
MAG140_MAG140_MAG140_111_40,2.310633153,EX01,MAG140
MAG140_MAG140_MAG140_111_41,3.578215885,EX01,MAG140
MAG140_MAG140_MAG140_111_42,2.806904546,EX01,MAG140
MAG140_MAG140_MAG140_111_43,1.58804709,EX01,MAG140
MAG140_MAG140_MAG140_111_44,2.863620066,EX01,MAG140
MAG140_MAG140_MAG140_111_45,4.786186517,EX01,MAG140
MAG140_MAG140_MAG140_111_46,2.806914848,EX01,MAG140
MAG140_MAG140_MAG140_111_47,43.81523218,EX01,MAG140
MAG140_MAG140_MAG140_111_48,27.33796506,EX01,MAG140
MAG140_MAG140_MAG140_111_49,29.0080684,EX01,MAG140
MAG140_MAG140_MAG140_111_5,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_50,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_51,8.080056108,EX01,MAG140
MAG140_MAG140_MAG140_111_52,20.81428767,EX01,MAG140
MAG140_MAG140_MAG140_111_53,6.667195275,EX01,MAG140
MAG140_MAG140_MAG140_111_54,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_55,1.819853853,EX01,MAG140
MAG140_MAG140_MAG140_111_56,3.133030508,EX01,MAG140
MAG140_MAG140_MAG140_111_57,4.060078414,EX01,MAG140
