reaction_id,lb,ub,reaction_name,equation,type
DMPPS,0,1000,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),h[C_c] + nadh[C_c] + h2mb4p[C_c]  -> h2o[C_c] + nad[C_c] + dmpp[C_c] ,Cata2Ana
IPDPS,0,1000,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),h[C_c] + nadh[C_c] + h2mb4p[C_c]  -> h2o[C_c] + nad[C_c] + ipdp[C_c] ,Cata2Ana
MECDPDH2,0,1000,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",nadh[C_c] + 2mecdp[C_c]  -> h2o[C_c] + nad[C_c] + h2mb4p[C_c] ,Cata2Ana
FLDR,0,1000,Flavodoxin reductase (NADPH),h[C_c] + nadph[C_c] + fldox[C_c]  -> nadp[C_c] + fldrd[C_c] ,Ana2Cata
FLDR2,0,1000,Flavodoxin reductase (NADPH),nadph[C_c] + 2 flxso[C_c]  -> h[C_c] + nadp[C_c] + 2 flxr[C_c] ,Ana2Cata
FLVR,0,1000,Flavin reductase,h[C_c] + nadph[C_c] + ribflv[C_c]  -> nadp[C_c] + rbflvrd[C_c] ,Ana2Cata
FMNRx2,0,1000,FMN reductase,h[C_c] + nadph[C_c] + fmn[C_c]  -> nadp[C_c] + fmnh2[C_c] ,Ana2Cata
FMNRy,0,1000,FMN reductase  NADPH dependent,h[C_c] + nadph[C_c] + fmn[C_c]  -> nadp[C_c] + fmnRD[C_c] ,Ana2Cata
ALCD19y,0,1000,Alcohol dehydrogenase  glycerol  NADP,h[C_c] + nadph[C_c] + glyald[C_c]  -> nadp[C_c] + glyc[C_c] ,Ana2Cata
ALCD2yi,0,1000,"Alcohol dehydrogenase (ethanol, NADP)",h[C_c] + nadph[C_c] + acald[C_c]  -> nadp[C_c] + etoh[C_c] ,Ana2Cata
ALR3,0,1000,Aldose reductase (acetol),h[C_c] + nadph[C_c] + acetol[C_c]  -> 12ppd__S[C_c] + nadp[C_c] ,Ana2Cata
GHBDHy,-1000,1000,Gamma-hydroxybutyrate dehydrogenase (NADPH),h[C_c] + nadph[C_c] + sucsal[C_c]  <=> nadp[C_c] + ghb[C_c] ,Ana2Cata
LALDO3,0,1000,L-Lactaldehyde:NADP+ 1-oxidoreductase,h[C_c] + nadph[C_c] + mthgxl[C_c]  -> nadp[C_c] + lald__L[C_c] ,Ana2Cata
SSCOARy,-1000,1000,Succinyl-coA reductase (NADPH),h[C_c] + nadph[C_c] + succoa[C_c]  <=> coa[C_c] + nadp[C_c] + sucsal[C_c] ,Ana2Cata
GMPR,0,1000,GMP reductase,2 h[C_c] + nadph[C_c] + gmp[C_c]  -> nh4[C_c] + nadp[C_c] + imp[C_c] ,Ana2Cata
4HBHYOX,0,1000,4HBHYOX,o2[C_c] + h[C_c] + nadph[C_c] + 4hbz[C_c]  -> h2o[C_c] + nadp[C_c] + 34dhbz[C_c] ,Ana2Cata
PACCOAE,0,1000,"Ring 1,2-phenylacetyl-CoA epoxidase (NADPH)",o2[C_c] + h[C_c] + nadph[C_c] + phaccoa[C_c]  -> h2o[C_c] + nadp[C_c] + rephaccoa[C_c] ,Ana2Cata
2DGLCNRy,0,1000,2-dehydro-D-gluconate reductase (NADPH),h[C_c] + nadph[C_c] + 2dhglcn[C_c]  -> nadp[C_c] + glcn[C_c] ,Ana2Cata
5DGLCNR,-1000,1000,5-dehydro-D-gluconate reductase,h[C_c] + nadph[C_c] + 5dglcn[C_c]  <=> nadp[C_c] + glcn[C_c] ,Ana2Cata
ARABRr,-1000,1000,Arabinose reductase,h[C_c] + nadph[C_c] + arab__L[C_c]  <=> nadp[C_c] + abt__L[C_c] ,Ana2Cata
GLYCLTDy,0,1000,Glycolate dehydrogenase (NADP),h[C_c] + nadph[C_c] + glx[C_c]  -> nadp[C_c] + glyclt[C_c] ,Ana2Cata
HPYRRy,0,1000,Hydroxypyruvate reductase (NADPH),h[C_c] + nadph[C_c] + hpyr[C_c]  -> nadp[C_c] + glyc__R[C_c] ,Ana2Cata
IDOND2,0,1000,L-indonate 5-dehydrogenase (NADP),h[C_c] + nadph[C_c] + 5dglcn[C_c]  -> nadp[C_c] + idon__L[C_c] ,Ana2Cata
MSAR,0,1000,Malonic semialdehyde reductase,h[C_c] + nadph[C_c] + msa[C_c]  -> nadp[C_c] + 3hpp[C_c] ,Ana2Cata
PGLCNDH,-1000,1000,PGLCNDH,nadph[C_c] + 6p2dhglcn[C_c]  <=> 2 h[C_c] + nadp[C_c] + 6pgc[C_c] ,Ana2Cata
TYRL,0,1000,Tyrosine lyase,nadph[C_c] + amet[C_c] + tyr__L[C_c]  -> h[C_c] + nadp[C_c] + dad_5[C_c] + met__L[C_c] + 4crsol[C_c] + dhgly[C_c] ,Ana2Cata
CYSLY3,0,1000,Cysteine lyase (nadph),h[C_c] + nadph[C_c] + cys__L[C_c]  -> nadp[C_c] + ala__L[C_c] + h2s[C_c] ,Ana2Cata
